Designator,Mid X,Mid Y,Rotation,Layer
D0,319.1812,-28.3701,90.0,top
D1,39.2906,-47.625,270.0,top
D10,82.1531,-66.675,270.0,top
D11,91.6781,-85.725,270.0,top
D12,84.5344,-104.775,270.0,top
D13,96.4406,-47.625,270.0,top
D14,101.2031,-66.675,270.0,top
D15,110.7281,-85.725,270.0,top
D16,115.4906,-47.6313,270.0,top
D17,120.2531,-66.675,270.0,top
D18,129.7781,-85.725,270.0,top
D19,134.5406,-47.6313,270.0,top
D2,41.6719,-66.675,270.0,top
D20,139.3031,-66.675,270.0,top
D21,148.8281,-85.725,270.0,top
D22,155.9719,-104.775,270.0,top
D23,153.5906,-47.625,270.0,top
D24,158.3531,-66.675,270.0,top
D25,167.8781,-85.725,270.0,top
D26,172.6406,-47.6313,90.0,top
D27,177.4031,-66.675,90.0,top
D28,186.9281,-85.725,90.0,top
D29,191.6906,-47.6313,90.0,top
D3,46.4344,-85.725,270.0,top
D30,196.4531,-66.675,90.0,top
D31,205.9781,-85.725,90.0,top
D32,210.7406,-47.625,90.0,top
D33,215.5031,-66.675,90.0,top
D34,225.0281,-85.725,90.0,top
D35,227.4094,-104.775,90.0,top
D36,229.7906,-47.625,90.0,top
D37,234.5531,-66.675,90.0,top
D38,244.0781,-85.725,90.0,top
D39,248.8406,-104.775,90.0,top
D4,39.2906,-104.775,270.0,top
D40,248.8406,-47.625,90.0,top
D41,253.6031,-66.675,90.0,top
D42,263.1281,-85.725,90.0,top
D43,277.4156,-104.775,90.0,top
D44,267.8906,-47.625,90.0,top
D45,272.6531,-66.675,90.0,top
D46,291.7031,-47.625,90.0,top
D47,294.0844,-66.675,90.0,top
D48,289.3219,-85.725,90.0,top
D49,296.4193,-104.775,90.0,top
D5,58.3406,-47.625,270.0,top
D6,63.1031,-66.675,270.0,top
D7,72.6281,-85.725,270.0,top
D8,63.1031,-104.775,270.0,top
D9,77.3906,-47.625,270.0,top
L1,300.0292,-42.5789,180.0,top
L10,123.8167,-42.5789,180.0,top
L11,104.7667,-42.5789,180.0,top
L12,85.7167,-42.5789,180.0,top
L13,66.6667,-42.5789,180.0,top
L14,47.6167,-42.5789,180.0,top
L15,49.998,-61.6289,0.0,top
L16,71.4292,-61.6289,0.0,top
L17,90.4792,-61.6289,0.0,top
L18,109.5292,-61.6289,0.0,top
L19,128.5792,-61.6289,0.0,top
L2,276.2167,-42.5789,180.0,top
L20,147.6292,-61.6289,0.0,top
L21,166.6792,-61.6289,0.0,top
L22,185.7292,-61.6289,0.0,top
L23,204.7792,-61.6289,0.0,top
L24,223.8292,-61.6289,0.0,top
L25,242.8792,-61.6289,0.0,top
L26,261.9292,-61.6289,0.0,top
L27,280.9792,-61.6289,0.0,top
L28,302.4105,-61.6289,0.0,top
L29,297.648,-80.6789,180.0,top
L3,257.1667,-42.5789,180.0,top
L30,271.4542,-80.6789,180.0,top
L31,252.4042,-80.6789,180.0,top
L32,233.3542,-80.6789,180.0,top
L33,214.3042,-80.6789,180.0,top
L34,195.2542,-80.6789,180.0,top
L35,176.2042,-80.6789,180.0,top
L36,157.1542,-80.6789,180.0,top
L37,138.1042,-80.6789,180.0,top
L38,119.0542,-80.6789,180.0,top
L39,100.0042,-80.6789,180.0,top
L4,238.1167,-42.5789,180.0,top
L40,80.9542,-80.6789,180.0,top
L41,54.7605,-80.6789,180.0,top
L42,71.4292,-99.7289,0.0,top
L43,92.8605,-99.7289,0.0,top
L44,164.298,-99.7289,0.0,top
L45,235.7355,-99.7289,0.0,top
L46,257.1667,-99.7289,0.0,top
L5,219.0667,-42.5789,180.0,top
L6,200.0167,-42.5789,180.0,top
L7,180.9667,-42.5789,180.0,top
L8,161.9167,-42.5789,180.0,top
L9,142.8667,-42.5789,180.0,top
SW1,47.625,-47.625,180.0,top
SW10,90.4875,-66.675,180.0,top
SW11,100.0125,-85.725,180.0,top
SW12,92.8688,-104.775,180.0,top
SW13,104.775,-47.625,180.0,top
SW14,109.5375,-66.675,180.0,top
SW15,119.0625,-85.725,180.0,top
SW16,123.825,-47.625,180.0,top
SW17,128.5875,-66.675,180.0,top
SW18,138.1125,-85.725,180.0,top
SW19,142.875,-47.625,180.0,top
SW2,50.0063,-66.675,180.0,top
SW20,147.6375,-66.675,180.0,top
SW21,157.1625,-85.725,180.0,top
SW22,164.1125,-104.775,0.0,top
SW23,161.925,-47.625,180.0,top
SW24,166.6875,-66.675,180.0,top
SW25,176.2125,-85.725,180.0,top
SW26,180.975,-47.625,180.0,top
SW27,185.7375,-66.675,180.0,top
SW28,195.2625,-85.725,180.0,top
SW29,200.025,-47.625,180.0,top
SW3,54.7688,-85.725,180.0,top
SW30,204.7875,-66.675,180.0,top
SW31,214.3125,-85.725,180.0,top
SW32,219.075,-47.625,180.0,top
SW33,223.8375,-66.675,180.0,top
SW34,233.3625,-85.725,180.0,top
SW35,235.7438,-104.775,180.0,top
SW36,238.125,-47.625,180.0,top
SW37,242.8875,-66.675,180.0,top
SW38,252.4125,-85.725,180.0,top
SW39,257.175,-104.775,180.0,top
SW4,48.26,-105.025,180.0,top
